Date,RegionName,Price_1bedroom,Price_2bedroom,Price_3bedroom,Price_4bedroom,Price_5BedroomOrMore,Price_SingleFamilyResidence
28/02/01,Alabama,70100,58700,95900,178700,248100,92500
28/02/01,Alaska,97300,126400,177300,219800,282500,183300
28/02/01,Arizona,75800,110200,126600,168100,250500,136900
28/02/01,Arkansas,65100,64500,90300,156700,245300,74400
28/02/01,California,146900,182700,218400,293700,405100,239900
28/02/01,Colorado,118400,150600,186500,256200,302900,193900
28/02/01,Connecticut,81600,124000,169300,271100,441100,184100
28/02/01,Delaware,94900,97800,125000,195900,229000,129800
28/02/01,DistrictofColumbia,136500,154400,140800,243200,596300,170100
28/02/01,Florida,54900,81000,114800,170900,267700,119300
28/02/01,Georgia,126000,88900,118700,192600,281400,124400
28/02/01,Hawaii,135500,178400,232900,301400,344200,270900
28/02/01,Idaho,81000,87100,113600,143400,173600,117300
28/02/01,Illinois,114900,113500,134000,218400,285800,137800
28/02/01,Indiana,52100,67100,101700,,165500,96900
28/02/01,Iowa,65100,73500,91800,110800,,77300
28/02/01,Kansas,,,,,,
28/02/01,Kentucky,66700,80300,102900,166200,194400,96400
28/02/01,Louisiana,,,108600,,,
28/02/01,Maine,,117400,138100,174500,214100,129800
28/02/01,Maryland,85000,101900,135000,204900,292000,152600
28/02/01,Massachusetts,144100,172800,217500,315900,422600,231000
28/02/01,Michigan,87600,106500,138400,232200,226300,118600
28/02/01,Minnesota,93300,127700,149700,186200,239600,145000
28/02/01,Mississippi,,,81300,152800,159800,74800
28/02/01,Missouri,62700,81600,124100,199800,256000,116100
28/02/01,Montana,72600,82600,108000,119800,138100,102800
28/02/01,Nebraska,73000,83800,114200,168300,140500,107300
28/02/01,Nevada,,108500,140600,178900,250700,156200
28/02/01,NewHampshire,79000,120200,162900,216500,238300,161900
28/02/01,NewJersey,111500,138800,168400,246300,316400,186100
28/02/01,NewMexico,,101100,125400,163900,213500,133300
28/02/01,NewYork,,79000,94900,,214700,
28/02/01,NorthCarolina,76100,80700,119400,200000,250600,120100
28/02/01,Ohio,61500,78200,108200,168600,185500,109300
28/02/01,Oklahoma,34200,38700,72300,129400,152200,69700
28/02/01,Oregon,105900,120100,150300,197400,231500,152500
28/02/01,Pennsylvania,67300,78600,97500,179300,172800,103800
28/02/01,RhodeIsland,99500,124300,148100,210700,281300,148800
28/02/01,SouthCarolina,77300,79400,112000,180400,,100000
28/02/01,SouthDakota,65100,90800,110500,127200,161000,111000
28/02/01,Tennessee,68400,67200,103800,181400,264300,88500
28/02/01,Texas,,,92000,152100,,98200
28/02/01,Utah,,126600,156200,174400,214000,165900
28/02/01,Vermont,100600,110600,129800,152800,165100,
28/02/01,Virginia,91400,91500,123500,211700,300500,134600
28/02/01,Washington,124800,140700,174300,233800,270900,175300
28/02/01,WestVirginia,,,63800,85600,95300,48200
28/02/01,Wisconsin,88500,97100,122600,151900,175200,121900
28/02/01,Wyoming,,,,124600,,114200
28/02/02,Alabama,71800,60400,98400,181200,259000,96100
28/02/02,Alaska,98600,129700,186000,230000,301100,188600
28/02/02,Arizona,80200,114000,132200,174700,264300,142500
28/02/02,Arkansas,64800,65500,94200,164900,256400,76200
28/02/02,California,169300,209200,247400,327700,443700,268900
28/02/02,Colorado,128900,161100,198500,269900,319800,206300
28/02/02,Connecticut,91800,137600,185400,296800,479900,203900
28/02/02,Delaware,96200,105100,133300,210500,251400,137700
28/02/02,DistrictofColumbia,172900,194000,165700,300900,716600,193800
28/02/02,Florida,62100,89900,125400,185100,294500,130000
28/02/02,Georgia,127200,94400,124600,201600,294800,130000
28/02/02,Hawaii,145000,189400,249200,324800,367000,288900
28/02/02,Idaho,85500,92400,118600,149600,182500,122800
28/02/02,Illinois,131100,123700,142200,234000,304900,146400
28/02/02,Indiana,57300,70400,105500,150200,169200,101800
28/02/02,Iowa,68800,76200,96500,117100,,79700
28/02/02,Kansas,,,99400,,,
28/02/02,Kentucky,69700,84100,106200,171900,205000,100600
28/02/02,Louisiana,,,113700,,,
28/02/02,Maine,129000,144000,163400,201600,252500,152700
